#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-25.4,100,85.257825,0,0,0,0.0,0
-46.0,100,85.366216,0,0,0,0.0,0
1.6,100,85.477564,0,0,0,0.0,0
2.0,100,85.581555,0,0,0,0.0,0
-1.8,100,85.701682,0,0,0,0.0,0
-74.4,100,85.824001,0,0,0,0.0,0
0.0,100,85.925936,0,0,0,0.0,0
-160.8,100,86.045931,0,0,0,0.0,0
-4.1,100,86.157153,0,0,0,0.0,0
-75.8,100,87.544729,0,0,0,0.0,0
-186.6,100,87.639856,0,0,0,0.0,0
-41.0,100,87.744475,0,0,0,0.0,0
-27.1,100,87.848244,0,0,0,0.0,0
-35.0,100,87.952469,0,0,0,0.0,0
-57.4,100,88.049716,0,0,0,0.0,0
-94.5,100,88.16613,0,0,0,0.0,0
2.0,100,88.268927,0,0,0,0.0,0
-191.8,100,88.367541,0,0,0,0.0,0
-5.3,100,88.501446,0,0,0,0.0,0
1.2,100,88.599807,0,0,0,0.0,0
-198.4,100,88.715784,0,0,0,0.0,0
-156.8,100,88.822537,0,0,0,0.0,0
-17.0,100,88.939934,0,0,0,0.0,0
-198.4,100,89.048148,0,0,0,0.0,0
-179.5,100,89.149899,0,0,0,0.0,0
-206.2,100,89.242548,0,0,0,0.0,0
0.9,100,89.34773,0,0,0,0.0,0
1.0,100,89.453079,0,0,0,0.0,0
-138.8,100,89.542683,0,0,0,0.0,0
-135.6,100,90.803422,0,0,0,0.0,0
1.1,100,90.932249,0,0,0,0.0,0
-97.4,100,91.036909,0,0,0,0.0,0
-209.5,100,91.140577,0,0,0,0.0,0
-48.7,100,91.249772,0,0,0,0.0,0
-203.7,100,91.350153,0,0,0,0.0,0
2.0,100,91.450017,0,0,0,0.0,0
1.4,100,91.552937,0,0,0,0.0,0
-190.8,100,91.649742,0,0,0,0.0,0
-62.7,100,91.749981,0,0,0,0.0,0
-1.5,100,91.850567,0,0,0,0.0,0
0.7,100,91.955804,0,0,0,0.0,0
-175.4,100,92.060098,0,0,0,0.0,0
-90.3,100,92.168933,0,0,0,0.0,0
-57.9,100,92.278413,0,0,0,0.0,0
-92.1,100,92.375856,0,0,0,0.0,0
-178.3,100,92.48011,0,0,0,0.0,0
-180.3,100,92.566616,0,0,0,0.0,0
-227.1,100,92.66237,0,0,0,0.0,0
-42.7,100,92.76611,0,0,0,0.0,0
-0.5,100,94.039593,0,0,0,0.0,0
-209.5,100,94.127684,0,0,0,0.0,0
-41.6,100,94.238245,0,0,0,0.0,0
-73.2,100,94.3472,0,0,0,0.0,0
0.9,100,94.456198,0,0,0,0.0,0
-190.1,100,94.55541,0,0,0,0.0,0
-28.1,100,94.668501,0,0,0,0.0,0
-197.0,100,94.762165,0,0,0,0.0,0
-34.4,100,94.868385,0,0,0,0.0,0
-192.0,100,94.967861,0,0,0,0.0,0
